Description,Manufacturer,Part Number,Hardware Type,Hardware Size,BRSID
"Tacoma Screw Bonded Sealing Washer, #14 x 5/8 in",Tacoma Screw,130-406-1,Bonded Sealing Washer,#14 x 5/8 in,HARDWARE-Tacoma-Screw-130-406-1
"Tacoma Screw Sheet Metal Screw, #14 x 1 in",Tacoma Screw,131-826-1,Sheet Metal Screw,#14 x 1 in,HARDWARE-Tacoma-Screw-131-826-1
"Tacoma Screw Self-Drilling Screw, #12-14 x 3/4 in",Tacoma Screw,132-516-1,Self-Drilling Screw,#12-14 x 3/4 in,HARDWARE-Tacoma-Screw-132-516-1
"Tacoma Screw Self-Drilling Screw, #14 x 1 in",Tacoma Screw,132-521-1,Self-Drilling Screw,#14 x 1 in,HARDWARE-Tacoma-Screw-132-521-1
"Tapcon Concrete Screw, 1/4 x 3-1/4 in",Tapcon,24391,Concrete Screw,1/4 x 3-1/4 in,HARDWARE-Tapcon-24391
"Teks Self Drilling Screw, #12 x 1-1/4 in",Teks,1167253,Self Drilling Screw,#12 x 1-1/4 in,HARDWARE-Teks-1167253
"Teks Self-Drilling Screw, #8 x 3/4 in",Teks,21524,Self-Drilling Screw,#8 x 3/4 in,HARDWARE-Teks-21524
"Thiel Staple, 5/8 in",Thiel,11251,Staple,5/8 in,HARDWARE-Thiel-11251
"Thiel Staple, 1/2 in",Thiel,1100-1,Staple,1/2 in,HARDWARE-Thiel-1100-1
"Thiel Staple, 1 x 1/2 in",Thiel,1100-5,Staple,1 x 1/2 in,HARDWARE-Thiel-1100-5
"Thiel Staple, 1-1/4 x 9/16 in",Thiel,1125-1,Staple,1-1/4 x 9/16 in,HARDWARE-Thiel-1125-1
"Thiel Staple, 1-1/4  x9/16 in",Thiel,1125-5,Staple,1-1/4  x9/16 in,HARDWARE-Thiel-1125-5
"Thiel Staple, 1 x 1/2 in",Thiel,1125-PB5M,Staple,1 x 1/2 in,HARDWARE-Thiel-1125-PB5M
"Thiel Staple, 3/4 x 1-5/16 in",Thiel,1150-1,Staple,3/4 x 1-5/16 in,HARDWARE-Thiel-1150-1
"Thomas & Betts Spring Nut, 1/4 in",Thomas & Betts,A100-1/4,Spring Nut,1/4 in,HARDWARE-Thomas-&-Betts-A100-1/4
"Thomas & Betts Spring Nut, 3/8 in",Thomas & Betts,A100-3/8,Spring Nut,3/8 in,HARDWARE-Thomas-&-Betts-A100-3/8
"Thomas & Betts Channel Nut, 3/8 in",Thomas & Betts,AB100-3/8,Channel Nut,3/8 in,HARDWARE-Thomas-&-Betts-AB100-3/8
"Thomas & Betts Square Washer, 3/8 in",Thomas & Betts,AB241-1/2EG,Square Washer,3/8 in,HARDWARE-Thomas-&-Betts-AB241-1/2EG
"Thomas & Betts Square Washer, 1/4 in",Thomas & Betts,AB241M 1/4 EG,Square Washer,1/4 in,HARDWARE-Thomas-&-Betts-AB241M-1/4-EG
"Thomas & Betts Nail Plate, 1-3/8 in",Thomas & Betts,CP-1,Nail Plate,1-3/8 in,HARDWARE-Thomas-&-Betts-CP-1
"Thomas & Betts Cable Tie, 11 in",Thomas & Betts,L-11-50-0-C,Cable Tie,11 in,HARDWARE-Thomas-&-Betts-L-11-50-0-C
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,L-11-50-0-D,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-L-11-50-0-D
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,L-11-50-9-C,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-L-11-50-9-C
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,L-11-50-9-D,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-L-11-50-9-D
"Thomas & Betts Cable Tie, 14 in",Thomas & Betts,L-14-120-0-C,Cable Tie,14 in,HARDWARE-Thomas-&-Betts-L-14-120-0-C
"Thomas & Betts Cable Tie, 14 in",Thomas & Betts,L-14-50-0-C,Cable Tie,14 in,HARDWARE-Thomas-&-Betts-L-14-50-0-C
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,L-14-50-0-D,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-L-14-50-0-D
"Thomas & Betts Cable Tie, 18 in",Thomas & Betts,L-18-120-0-L,Cable Tie,18 in,HARDWARE-Thomas-&-Betts-L-18-120-0-L
"Thomas & Betts Cable Tie, 7.5 in",Thomas & Betts,L-7-50-9-C,Cable Tie,7.5 in,HARDWARE-Thomas-&-Betts-L-7-50-9-C
"Thomas & Betts Cable Tie Mount, 1-1/4 x 1-1/4 in",Thomas & Betts,TC5345A,Cable Tie Mount,1-1/4 x 1-1/4 in,HARDWARE-Thomas-&-Betts-TC5345A
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,TY253MX,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-TY253MX
"Thomas & Betts Cable Tie, 7.31 in",Thomas & Betts,TY25MX,Cable Tie,7.31 in,HARDWARE-Thomas-&-Betts-TY25MX
"Thomas & Betts Cable Tie, 60 lb",Thomas & Betts,TY26MX,Cable Tie,60 lb,HARDWARE-Thomas-&-Betts-TY26MX
"Thomas & Betts Cable Tie, 18 in",Thomas & Betts,TY275MX,Cable Tie,18 in,HARDWARE-Thomas-&-Betts-TY275MX
"Thomas & Betts Cable Tie, 18 lb",Thomas & Betts,TY27MX,Cable Tie,18 lb,HARDWARE-Thomas-&-Betts-TY27MX
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,TY28MX,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-TY28MX
"Thomas & Betts Cable Tie, 8 in",Thomas & Betts,TY5232MX,Cable Tie,8 in,HARDWARE-Thomas-&-Betts-TY5232MX
"Thomas & Betts Cable Tie, 18 lb",Thomas & Betts,TY523MX,Cable Tie,18 lb,HARDWARE-Thomas-&-Betts-TY523MX
"Thomas & Betts Cable Tie, 30 lb",Thomas & Betts,TY5244MX,Cable Tie,30 lb,HARDWARE-Thomas-&-Betts-TY5244MX
"Thomas & Betts Cable Tie, 30 lb",Thomas & Betts,TY524MX,Cable Tie,30 lb,HARDWARE-Thomas-&-Betts-TY524MX
"Thomas & Betts Cable Tie, 11 in",Thomas & Betts,TY5253MX,Cable Tie,11 in,HARDWARE-Thomas-&-Betts-TY5253MX
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,TY525M,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-TY525M
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,TY525MX,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-TY525MX
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,TY526M,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-TY526M
"Thomas & Betts Cable Tie, 11.1 in",Thomas & Betts,TY526MX,Cable Tie,11.1 in,HARDWARE-Thomas-&-Betts-TY526MX
"Thomas & Betts Cable Tie, 120 lb",Thomas & Betts,TY5272MX,Cable Tie,120 lb,HARDWARE-Thomas-&-Betts-TY5272MX
"Thomas & Betts Cable Tie, 120 lb",Thomas & Betts,TY5275MX,Cable Tie,120 lb,HARDWARE-Thomas-&-Betts-TY5275MX
"Thomas & Betts Cable Tie, 13 in",Thomas & Betts,TY527M,Cable Tie,13 in,HARDWARE-Thomas-&-Betts-TY527M
"Thomas & Betts Cable Tie, 13.4 in",Thomas & Betts,TY527MX,Cable Tie,13.4 in,HARDWARE-Thomas-&-Betts-TY527MX
"Thomas & Betts Cable Tie, 50 lb",Thomas & Betts,TY528M,Cable Tie,50 lb,HARDWARE-Thomas-&-Betts-TY528M
"Thomas & Betts Cable Tie, 14.2 in",Thomas & Betts,TY528MX,Cable Tie,14.2 in,HARDWARE-Thomas-&-Betts-TY528MX
"Thomas & Betts Cable Tie, 7.8 in",Thomas & Betts,TY535M,Cable Tie,7.8 in,HARDWARE-Thomas-&-Betts-TY535M
"Thomas & Betts Cable Tie, 7.8 in",Thomas & Betts,TY535MX,Cable Tie,7.8 in,HARDWARE-Thomas-&-Betts-TY535MX
"Topaz Staple, #14-12",Topaz,184I,Staple,#14-12,HARDWARE-Topaz-184I
"Topaz Cable Tie, 11 in",Topaz,BT1150,Cable Tie,11 in,HARDWARE-Topaz-BT1150
"Topaz Cable Tie, 14 in",Topaz,BT1450,Cable Tie,14 in,HARDWARE-Topaz-BT1450
"Unirac Self-Drilling Screw, #14-3 in",Unirac,003251W,Self-Drilling Screw,#14-3 in,HARDWARE-Unirac-003251W
"Unirac Hex Nut, 5/16 in-18",Unirac,ES10325,Hex Nut,5/16 in-18,HARDWARE-Unirac-ES10325
"Unistrut Spring Nut, 1/4 in",Unistrut,P1006-1420,Spring Nut,1/4 in,HARDWARE-Unistrut-P1006-1420
"Unistrut Spring Nut, 1/4 in",Unistrut,P10061420EG,Spring Nut,1/4 in,HARDWARE-Unistrut-P10061420EG
"Unistrut Spring Nut, 3/8 in",Unistrut,P1008EG,Spring Nut,3/8 in,HARDWARE-Unistrut-P1008EG
"Unistrut Square Washer, 3/8 in",Unistrut,P1063EG,Square Washer,3/8 in,HARDWARE-Unistrut-P1063EG
"Viking Staple, 1-1/4 x 9/16 in",Viking,125 P1,Staple,1-1/4 x 9/16 in,HARDWARE-Viking-125-P1
"Viking Staple, 1-1/4 in",Viking,125 P5,Staple,1-1/4 in,HARDWARE-Viking-125-P5
"Viking Staple, 2-1/2 x 1-7/8 in",Viking,151 P1,Staple,2-1/2 x 1-7/8 in,HARDWARE-Viking-151-P1
"Viking Staple, 4/0 SER",Viking,151-P1,Staple,4/0 SER,HARDWARE-Viking-151-P1
"Viking Staple, 1 x 1/2 in",Viking,C703603,Staple,1 x 1/2 in,HARDWARE-Viking-C703603
"Viking Staple, 9/16 x 1-1/4 in",Viking,C704071,Staple,9/16 x 1-1/4 in,HARDWARE-Viking-C704071
"Viking Staple, 9/16 x 1-1/4 in",Viking,C704148,Staple,9/16 x 1-1/4 in,HARDWARE-Viking-C704148
"Viking Staple, 6/3",Viking,C704254,Staple,3-Jun,HARDWARE-Viking-C704254
"Viking Staple, #141",Viking,C704304,Staple,#141,HARDWARE-Viking-C704304
