Description,Manufacturer,Part Number,Rating,Load Center Type,Spaces,Circuits,Load Center Use,Mount,Load Center Features,BRSID
"Eaton 200A Convertible Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP30N200,200,Convertible,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP30N200
"Eaton 200A Convertible Loadcenter, 30 Space, 60 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP30N200G,200,Convertible,30,60,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP30N200G
"Eaton 200A Main Breaker Loadcenter, 40 Space, 80 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP40B200,200,Main Breaker,40,80,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP40B200
"Eaton 200A Main Breaker Loadcenter, 40 Space, 80 Circuit, Outdoor, Surface Mount, Plug-On Neutral",Eaton,BRP40B200R,200,Main Breaker,40,80,Outdoor,Surface,Plug-On Neutral,LOAD-CENTER-Eaton-BRP40B200R
"Eaton 200A Main Breaker Loadcenter, 40 Space, 40 Circuit, ,  Mount",Eaton,BRP40BC200,200,Main Breaker,40,40,,,,LOAD-CENTER-Eaton-BRP40BC200
"Eaton 200A Main Lug Only Loadcenter, 40 Space, 80 Circuit, Indoor, Flush Mount, Plug-On Neutral",Eaton,BRP40L200,200,Main Lug Only,40,80,Indoor,Flush,Plug-On Neutral,LOAD-CENTER-Eaton-BRP40L200
"Eaton 200A Main Lug Only Loadcenter, 40 Space, 80 Circuit, Indoor, Flush Mount, Plug-On Neutral, Ground Bar",Eaton,BRP40L200G,200,Main Lug Only,40,80,Indoor,Flush,"Plug-On Neutral, Ground Bar",LOAD-CENTER-Eaton-BRP40L200G
"Cutler Hammer 125A Main Lug Only Loadcenter, 12 Space, 24 Circuit, Indoor, Flush Mount, DISCONTINUED",Cutler Hammer,CH12L125R,125,Main Lug Only,12,24,Indoor,Flush,DISCONTINUED,LOAD-CENTER-Cutler-Hammer-CH12L125R
"Cutler Hammer 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount",Cutler Hammer,CH2L125FP,125,Main Lug Only,2,4,Indoor,Flush,,LOAD-CENTER-Cutler-Hammer-CH2L125FP
"Cutler Hammer 125A Main Lug Only Loadcenter, 2 Space, 4 Circuit, Indoor, Flush Mount",Cutler Hammer,CH2L125SP,125,Main Lug Only,2,4,Indoor,Flush,,LOAD-CENTER-Cutler-Hammer-CH2L125SP
