Description,Manufacturer,Part Number,Tool Type,Tool Size,BRSID
DeWalt Utility Knife,DeWalt,DW-UTILKNIFE,Utility Knife,,TOOLS-DeWalt-DW-UTILKNIFE
"Diablo Auger Bit, 1 in x 17-1/2 in",Diablo,DAG3110,Auger Bit,1 in x 17-1/2 in,TOOLS-Diablo-DAG3110
"Diablo Bit Holder/Extender, 2-3/8 in",Diablo,DBH238QC,Bit Holder/Extender,2-3/8 in,TOOLS-Diablo-DBH238QC
"Diablo Bit Holder/Extender, 6 in",Diablo,DBH600,Bit Holder/Extender,6 in,TOOLS-Diablo-DBH600
"Diablo Hole Saw, 6 piece",Diablo,DHS06CFS,Hole Saw,6 piece,TOOLS-Diablo-DHS06CFS
"Diablo Hole Saw, 9 piece",Diablo,DHS09SGPCT,Hole Saw,9 piece,TOOLS-Diablo-DHS09SGPCT
"Diablo Hole Saw, 1 in",Diablo,DHS1000,Hole Saw,1 in,TOOLS-Diablo-DHS1000
"Diablo Hole Saw, 1-1/8 in",Diablo,DHS1125,Hole Saw,1-1/8 in,TOOLS-Diablo-DHS1125
"Diablo Carbide Hole Cutter, 1-1/8 in",Diablo,DHS1125CF,Carbide Hole Cutter,1-1/8 in,TOOLS-Diablo-DHS1125CF
"Diablo Hole Saw, 1-1/8 in",Diablo,DHS1125CT,Hole Saw,1-1/8 in,TOOLS-Diablo-DHS1125CT
"Diablo Hole Saw, 1-1/4 in",Diablo,DHS1250,Hole Saw,1-1/4 in,TOOLS-Diablo-DHS1250
"Diablo Hole Saw, 1-3/8 in",Diablo,DHS1375,Hole Saw,1-3/8 in,TOOLS-Diablo-DHS1375
"Diablo Carbide Hole Cutter, 1-3/8 in",Diablo,DHS1375CF,Carbide Hole Cutter,1-3/8 in,TOOLS-Diablo-DHS1375CF
"Diablo Hole Saw, 1-3/8 in",Diablo,DHS1375CT,Hole Saw,1-3/8 in,TOOLS-Diablo-DHS1375CT
"Diablo Hole Saw, 14 piece",Diablo,DHS14SGP,Hole Saw,14 piece,TOOLS-Diablo-DHS14SGP
"Diablo Hole Saw, 1-1/2 in",Diablo,DHS1500,Hole Saw,1-1/2 in,TOOLS-Diablo-DHS1500
"Diablo Hole Saw, 1-1/2 in",Diablo,DHS1500CT,Hole Saw,1-1/2 in,TOOLS-Diablo-DHS1500CT
"Diablo Hole Saw, 16 piece",Diablo,DHS16SEL,Hole Saw,16 piece,TOOLS-Diablo-DHS16SEL
"Diablo Hole Saw, 1-3/4 in",Diablo,DHS1750,Hole Saw,1-3/4 in,TOOLS-Diablo-DHS1750
"Diablo Hole Saw, 1-7/8 in",Diablo,DHS1875CT,Hole Saw,1-7/8 in,TOOLS-Diablo-DHS1875CT
"Diablo Hole Saw, 2 in",Diablo,DHS2000,Hole Saw,2 in,TOOLS-Diablo-DHS2000
"Diablo Hole Saw, 2-1/4 in",Diablo,DHS2250,Hole Saw,2-1/4 in,TOOLS-Diablo-DHS2250
"Diablo Hole Saw, 2-3/8 in",Diablo,DHS2375,Hole Saw,2-3/8 in,TOOLS-Diablo-DHS2375
"Diablo Hole Saw, 2-1/2 in",Diablo,DHS2500,Hole Saw,2-1/2 in,TOOLS-Diablo-DHS2500
"Diablo Hole Saw, 2-1/2 in",Diablo,DHS2500CT,Hole Saw,2-1/2 in,TOOLS-Diablo-DHS2500CT
"Diablo Hole Saw, 2-5/8 in",Diablo,DHS2625,Hole Saw,2-5/8 in,TOOLS-Diablo-DHS2625
"Diablo Hole Saw, 2-11/16 in",Diablo,DHS2687,Hole Saw,2-11/16 in,TOOLS-Diablo-DHS2687
"Diablo Pilot Bit, 2 in",Diablo,DHS2BITCB,Pilot Bit,2 in,TOOLS-Diablo-DHS2BITCB
"Diablo Hole Saw, 3-5/8 in",Diablo,DHS3625,Hole Saw,3-5/8 in,TOOLS-Diablo-DHS3625
"Diablo Hole Saw, 4-1/2 in",Diablo,DHS4500,Hole Saw,4-1/2 in,TOOLS-Diablo-DHS4500
"Diablo Pilot Bit, 9/32 in x 4 in",Diablo,DHS4BITCB,Pilot Bit,9/32 in x 4 in,TOOLS-Diablo-DHS4BITCB
"Diablo Pilot Bit, 4 in",Diablo,DHS4BITCT,Pilot Bit,4 in,TOOLS-Diablo-DHS4BITCT
"Diablo Pilot Bit, 1/4x3-7/8 in",Diablo,DHS4BITII,Pilot Bit,1/4x3-7/8 in,TOOLS-Diablo-DHS4BITII
"Diablo Hole Saw, 12 x 7/16 in",Diablo,DHS500XT12,Hole Saw,12 x 7/16 in,TOOLS-Diablo-DHS500XT12
"Diablo Hole Saw, 3/8 in",Diablo,DHSAR375,Hole Saw,3/8 in,TOOLS-Diablo-DHSAR375
"Diablo Hole Saw, 7/16 in",Diablo,DHSAR500,Hole Saw,7/16 in,TOOLS-Diablo-DHSAR500
"Diablo Adaptor Nut, 2 piece",Diablo,DHSNUT2,Adaptor Nut,2 piece,TOOLS-Diablo-DHSNUT2
"Diablo Bell Hanger Bit, 1/4 x 18 in",Diablo,DIB1050,Bell Hanger Bit,1/4 x 18 in,TOOLS-Diablo-DIB1050
"Diablo Bell Hanger Bit, 3/8 x 18 in",Diablo,DIB1070,Bell Hanger Bit,3/8 x 18 in,TOOLS-Diablo-DIB1070
"Diablo Rotary Hammer Drill Bit, 1/4 x 16 x 18 in",Diablo,DMAPL4100,Rotary Hammer Drill Bit,1/4 x 16 x 18 in,TOOLS-Diablo-DMAPL4100
"Diablo Rotary Hammer Drill Bit, 1 x 16 x 18 in",Diablo,DMAPL4310,Rotary Hammer Drill Bit,1 x 16 x 18 in,TOOLS-Diablo-DMAPL4310
"Diablo Nut Setter Bit, 3/8 in x 2-16 in",Diablo,DNTSL38,Nut Setter Bit,3/8 in x 2-16 in,TOOLS-Diablo-DNTSL38
"Diablo Nut Driver Bit Set, 5 bits: 1/4 in to 1/2 in",Diablo,DNTSL-S5,Nut Driver Bit Set,5 bits: 1/4 in to 1/2 in,TOOLS-Diablo-DNTSL-S5
