Description,Manufacturer,Part Number,Breaker Ratings,Spaces,Breaker Poles,Breaker Subcategory,BRSID,,,,,,,,Unnamed: 15,Unnamed: 16
"EATON 15A/30A/15A Triplex 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC2302115,"15, 30, 15",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQC2302115,,,,,,,,,
"EATON 20A/30A/20A Triplex 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC2302120,"20, 30, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQC2302120,,,,,,,,,
"EATON 20A/20A/20A Triplex 2 space breaker, Rejection Tab Feature, Common Trip",Eaton,BQC2202120,"20, 20, 20",2,"1, 2, 1",Triplex,BREAKER-Eaton-BQC2202120,,,,,,,,,
EATON 125a/2p 2 space breaker,Eaton,BR2125,125,2,2,,BREAKER-Eaton-BR2125,,,,,,,,,
EATON 100a/2p 2 space breaker,Eaton,BR2100,100,2,2,,BREAKER-Eaton-BR2100,,,,,,,,,
EATON 90a/2p 2 space breaker,Eaton,BR290,90,2,2,,BREAKER-Eaton-BR290,,,,,,,,,
EATON 80a/2p 2 space breaker,Eaton,BR280,80,2,2,,BREAKER-Eaton-BR280,,,,,,,,,
EATON 70a/2p 2 space breaker,Eaton,BR270,70,2,2,,BREAKER-Eaton-BR270,,,,,,,,,
EATON 60a/2p 2 space breaker,Eaton,BR260,60,2,2,,BREAKER-Eaton-BR260,,,,,,,,,
EATON 50a/2p 2 space breaker,Eaton,BR250,50,2,2,,BREAKER-Eaton-BR250,,,,,,,,,
EATON 45a/2p 2 space breaker,Eaton,BR245,45,2,2,,BREAKER-Eaton-BR245,,,,,,,,,
EATON 40a/2p 2 space breaker,Eaton,BR240,40,2,2,,BREAKER-Eaton-BR240,,,,,,,,,
EATON 35a/2p 2 space breaker,Eaton,BR235,35,2,2,,BREAKER-Eaton-BR235,,,,,,,,,
EATON 30a/2p 2 space breaker,Eaton,BR230,30,2,2,,BREAKER-Eaton-BR230,,,,,,,,,
EATON 25a/2p 2 space breaker,Eaton,BR225,25,2,2,,BREAKER-Eaton-BR225,,,,,,,,,
EATON 20a/2p 2 space breaker,Eaton,BR220,20,2,2,,BREAKER-Eaton-BR220,,,,,,,,,
EATON 10a/2p 2 space breaker,Eaton,BR210,10,1,1,,BREAKER-Eaton-BR210,,,,,,,,,
EATON 30a/1p 1 space breaker,Eaton,BR130,30,1,1,,BREAKER-Eaton-BR130,,,,,,,,,
EATON 20a/1p 1 space breaker,Eaton,BR120,20,1,1,,BREAKER-Eaton-BR120,,,,,,,,,
EATON 15a/1p 1 space breaker,Eaton,BR115,15,1,1,,BREAKER-Eaton-BR115,,,,,,,,,
GE 15a/15a duplex 1 space breaker,GE,THQLT1515,"15, 15",1,"1, 1",Duplex,BREAKER-GE-THQLT1515,,,,,,,,,
GE 20a/20a duplex 1 space breaker,GE,THQLT2020,"20, 20",1,"1, 1",Duplex,BREAKER-GE-THQLT2020,,,,,,,,,
GE 15a/20a duplex 1 space breaker,GE,THQLT1520,"15, 20",1,"1, 1",Duplex,BREAKER-GE-THQLT1520,,,,,,,,,
"GE 200a/2p Main Breaker Kit, Vertical Handle",GE,THQMV200E,200,4,2,Main Breaker Kit,BREAKER-GE-THQMV200E,,,,,,,,,
"GE 175a/2p Main Breaker Kit, Vertical Handle",GE,THQMV175E,175,4,2,Main Breaker Kit,BREAKER-GE-THQMV175E,,,,,,,,,
"GE 150a/2p Main Breaker Kit, Vertical Handle",GE,THQMV150E,150,4,2,Main Breaker Kit,BREAKER-GE-THQMV150E,,,,,,,,,
"GE 125a/2p Main Breaker Kit, Vertical Handle",GE,THQMV125E,125,4,2,Main Breaker Kit,BREAKER-GE-THQMV125E,,,,,,,,,
"GE 100a/2p Main Breaker Kit, Vertical Handle",GE,THQMV100E,100,4,2,Main Breaker Kit,BREAKER-GE-THQMV100E,,,,,,,,,
"GE 200a/2p Main Breaker Replacement, Horizontal Handle",GE,THQMV200,200,4,2,Main Breaker Replacement,BREAKER-GE-THQMV200,,,,,,,,,
"GE 175a/2p Main Breaker Replacement, Horizontal Handle",GE,THQMV175,175,4,2,Main Breaker Replacement,BREAKER-GE-THQMV175,,,,,,,,,
"GE 150a/2p Main Breaker Replacement, Horizontal Handle",GE,THQMV150,150,4,2,Main Breaker Replacement,BREAKER-GE-THQMV150,,,,,,,,,
"GE 200a/2p Main Breaker Replacement, Without Lugs",GE,THQMV200WL,200,4,2,Main Breaker Replacement,BREAKER-GE-THQMV200WL,,,,,,,,,
"GE 175a/2p Main Breaker Replacement, Without Lugs",GE,THQMV175WL,175,4,2,Main Breaker Replacement,BREAKER-GE-THQMV175WL,,,,,,,,,
"GE 150a/2p Main Breaker Replacement, Without Lugs",GE,THQMV150WL,150,4,2,Main Breaker Replacement,BREAKER-GE-THQMV150WL,,,,,,,,,
