Description,Conduit Type,Conduit Material,Conduit Size,Conduit Category,Conduit Designation,
1 in RMC Threaded Coupling,Threaded Coupling,RMC,1,Conduit Fitting,1-RMC-Threaded-Coupling,
1 in RMC Weatherhead,Weatherhead,RMC,1,Conduit Fitting,1-RMC-Weatherhead,
1 in Steel Reducing Washer,Reducing Washer,Steel,1,Conduit Fitting,1-Steel-Reducing-Washer,
1 in Steel Sealing Ring,Sealing Ring,Steel,1,Conduit Fitting,1-Steel-Sealing-Ring,
2-1/2 in EMT Compression Connector,Compression Connector,EMT,2/1/2002,Conduit Fitting,2-1/2-EMT-Compression-Connector,
2-1/2 in EMT Compression Coupling,Compression Coupling,EMT,2/1/2002,Conduit Fitting,2-1/2-EMT-Compression-Coupling,
2-1/2 in EMT Elbow 45,Elbow 45,EMT,2/1/2002,Conduit Fitting,2-1/2-EMT-Elbow-45,
2-1/2 in EMT Elbow 90,Elbow 90,EMT,2/1/2002,Conduit Fitting,2-1/2-EMT-Elbow-90,
2-1/2 in EMT Set Screw Connector,Set Screw Connector,EMT,2/1/2002,Conduit Fitting,2-1/2-EMT-Set-Screw-Connector,
2-1/2 in EMT Threaded Coupling,Threaded Coupling,EMT,2/1/2002,Conduit Fitting,2-1/2-EMT-Threaded-Coupling,
2-1/2 in PVC Cap,Cap,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Cap,
2-1/2 in PVC Coupling,Coupling,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Coupling,
2-1/2 in PVC Elbow 22-1/2,Elbow 22-1/2,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Elbow-22-1/2,
2-1/2 in PVC Elbow 30,Elbow 30,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Elbow-30,
2-1/2 in PVC Elbow 45,Elbow 45,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Elbow-45,
2-1/2 in PVC Elbow 90,Elbow 90,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Elbow-90,
2-1/2 in PVC End Bell,End Bell,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-End-Bell,
2-1/2 in PVC Expansion Coupling,Expansion Coupling,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Expansion-Coupling,
2-1/2 in PVC Female Adapter,Female Adapter,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Female-Adapter,
2-1/2 in PVC Insulating Bushing,Insulating Bushing,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Insulating-Bushing,
2-1/2 in PVC Slip Sleeve,Slip Sleeve,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Slip-Sleeve,
2-1/2 in PVC Swedge Reducer,Swedge Reducer,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Swedge-Reducer,
2-1/2 in PVC Terminal Adapter,Terminal Adapter,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Terminal-Adapter,
2-1/2 in PVC Threaded Coupling,Threaded Coupling,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Threaded-Coupling,
2-1/2 in PVC Weatherhead,Weatherhead,PVC,2/1/2002,Conduit Fitting,2-1/2-PVC-Weatherhead,
2-1/2 in RMC Chase Nipple,Chase Nipple,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Chase-Nipple,
2-1/2 in RMC Compression Connector,Compression Connector,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Compression-Connector,
2-1/2 in RMC Compression Coupling,Compression Coupling,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Compression-Coupling,
2-1/2 in RMC Elbow 45,Elbow 45,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Elbow-45,
2-1/2 in RMC Elbow 90,Elbow 90,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Elbow-90,
2-1/2 in RMC Expansion Coupling,Expansion Coupling,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Expansion-Coupling,
2-1/2 in RMC Locknut,Locknut,RMC,2/1/2002,Conduit Fitting,2-1/2-RMC-Locknut,
