Description,Manufacturer,Part Number,Rating,Meter Socket Series,Meter Socket Type,Meter Socket Style,Meter Socket Feed,Meter Socket Positions,Meter Socket Bypass,Meter Socket Jaws,Mount,Meter Socket Features,BRSID
"Siemens Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Siemens,MC0816B1200TH,200,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Siemens-MC0816B1200TH
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Siemens,MC1224B1200JLC,200,,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Siemens-MC1224B1200JLC
"Siemens Meter/Main Combo, 150A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Siemens,MC2040B1150JLC,150,,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Siemens-MC2040B1150JLC
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Siemens,MC2040B1200JLC,200,,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Siemens-MC2040B1200JLC
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Siemens,MC2040B1200R,200,,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,,METER-SOCKET-Siemens-MC2040B1200R
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 5 Jaws, Surface Mount",Siemens,MC2040B1200RC,200,,Meter/Main Combo,Ringless,OH/UG,1,,5,Surface,,METER-SOCKET-Siemens-MC2040B1200RC
"Siemens Meter/Main Combo, 200A, Ring Style, OH ONLY, 1-Position, No Bypass, 4 Jaws, Surface Mount, 100A Alternate Energy Input",Siemens,MC2040S1200SZ,200,,Meter/Main Combo,Ring,OH,1,,4,Surface,100A Alternate Energy Input,METER-SOCKET-Siemens-MC2040S1200SZ
"Siemens Meter/Main Combo, 200A, Ring Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Siemens,MC2442S1200SC,200,,Meter/Main Combo,Ring,OH/UG,1,,4,Surface,,METER-SOCKET-Siemens-MC2442S1200SC
"Siemens Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 4 Jaws, Surface Mount",Siemens,MC3042B1200JLC,200,,Meter/Main Combo,Ringless,OH/UG,1,Lever,4,Surface,,METER-SOCKET-Siemens-MC3042B1200JLC
"Siemens Murray Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, Lever Bypass, 5 Jaws, Surface Mount",Siemens,RH173CR,200,Murray,Meter Socket,Ringless,OH/UG,1,Lever,5,Surface,,METER-SOCKET-Siemens-RH173CR
"Siemens Meter Socket, 135A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Siemens,UAT111-0JCA,135,,Meter Socket,Ringless,OH/UG,1,,4,Surface,,METER-SOCKET-Siemens-UAT111-0JCA
"Siemens Meter Socket, 135A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Steel Latch and Hasp",Siemens,UAT111-XGF,135,,Meter Socket,Ringless,OH/UG,1,,4,Surface,Steel Latch and Hasp,METER-SOCKET-Siemens-UAT111-XGF
"Siemens Talon Meter Socket, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount",Siemens,UAT437-XGF,200,Talon,Meter Socket,Ringless,OH/UG,1,,4,Surface,,METER-SOCKET-Siemens-UAT437-XGF
"Square D QO Meter/Main Combo, 200A, Ringless Style, OH/UG, 1-Position, No Bypass, 4 Jaws, Surface Mount, Feed-Through Lugs",Square D,QC816F200C,200,QO,Meter/Main Combo,Ringless,OH/UG,1,,4,Surface,Feed-Through Lugs,METER-SOCKET-Square-D-QC816F200C
