Description,Manufacturer,Part Number,Conduit Designation,BRSID,,,,
Bridgeport - 1/2 in EMT Compression Connector-Compression Connector,Bridgeport,250-RT2,1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-250-RT2,,,,
Bridgeport - 1/2 in EMT Compression Connector-Compression Connector,Bridgeport,250-SRTI,1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-250-SRTI,,,,
Bridgeport - 1/2 in EMT Compression Coupling-Compression Coupling,Bridgeport,260-DC,1/2-EMT-Compression-Coupling,CONDUIT-Bridgeport-260-DC,,,,
Bridgeport - 1/2 in EMT Compression Coupling-Compression Coupling,Bridgeport,260RT,1/2-EMT-Compression-Coupling,CONDUIT-Bridgeport-260RT,,,,
Bridgeport - 1/2 in EMT Compression Coupling-Compression Coupling,Bridgeport,260-RT,1/2-EMT-Compression-Coupling,CONDUIT-Bridgeport-260-RT,,,,
Bridgeport - 1/2 in EMT Set Screw Connector-Set Screw Connector,Bridgeport,230,1/2-EMT-Set-Screw-Connector,CONDUIT-Bridgeport-230,,,,
Bridgeport - 1/2 in EMT Set Screw Connector-Set Screw Connector,Bridgeport,230-DC2,1/2-EMT-Set-Screw-Connector,CONDUIT-Bridgeport-230-DC2,,,,
Bridgeport - 1-1/2 in EMT Compression Connector-Compression Connector,Bridgeport,234,1-1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-234,,,,
Bridgeport - 1-1/2 in EMT Compression Connector-Compression Connector,Bridgeport,254-RT2,1-1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-254-RT2,,,,
Bridgeport - 1-1/2 in EMT Compression Connector-Compression Connector,Bridgeport,254-RTI2,1-1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-254-RTI2,,,,
Bridgeport - 1-1/2 in EMT Compression Connector-Compression Connector,Bridgeport,254-SRT,1-1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-254-SRT,,,,
Bridgeport - 1-1/2 in EMT Compression Connector-Compression Connector,Bridgeport,254-SRTI,1-1/2-EMT-Compression-Connector,CONDUIT-Bridgeport-254-SRTI,,,,
Bridgeport - 1-1/2 in EMT Compression Coupling-Compression Coupling,Bridgeport,264-SRT,1-1/2-EMT-Compression-Coupling,CONDUIT-Bridgeport-264-SRT,,,,
Bridgeport - 1-1/4 in EMT Compression Connector-Compression Connector,Bridgeport,253-RT2,1-1/4-EMT-Compression-Connector,CONDUIT-Bridgeport-253-RT2,,,,
Bridgeport - 1-1/4 in EMT Compression Connector-Compression Connector,Bridgeport,253-SRT,1-1/4-EMT-Compression-Connector,CONDUIT-Bridgeport-253-SRT,,,,
Bridgeport - 1-1/4 in EMT Compression Connector-Compression Connector,Bridgeport,253-SRTI,1-1/4-EMT-Compression-Connector,CONDUIT-Bridgeport-253-SRTI,,,,
Bridgeport - 1-1/4 in EMT Compression Connector-Compression Connector,Bridgeport,3003RT,1-1/4-EMT-Compression-Connector,CONDUIT-Bridgeport-3003RT,,,,
Bridgeport - 1-1/4 in EMT Compression Coupling-Compression Coupling,Bridgeport,263-RT,1-1/4-EMT-Compression-Coupling,CONDUIT-Bridgeport-263-RT,,,,
Bridgeport - 1-1/4 in RMC Compression Connector-Compression Connector,Bridgeport,3003-US,1-1/4-RMC-Compression-Connector,CONDUIT-Bridgeport-3003-US,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252-DC2,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252-DC2,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252-RT2,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252-RT2,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252-RT2XL,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252-RT2XL,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252-RTI2,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252-RTI2,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252-SRT,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252-SRT,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,252-SRTI,1-EMT-Compression-Connector,CONDUIT-Bridgeport-252-SRTI,,,,
Bridgeport - 1 in EMT Compression Connector-Compression Connector,Bridgeport,292-RTNPT,1-EMT-Compression-Connector,CONDUIT-Bridgeport-292-RTNPT,,,,
Bridgeport - 1 in EMT Compression Coupling-Compression Coupling,Bridgeport,262,1-EMT-Compression-Coupling,CONDUIT-Bridgeport-262,,,,
Bridgeport - 1 in EMT Compression Coupling-Compression Coupling,Bridgeport,262-RT,1-EMT-Compression-Coupling,CONDUIT-Bridgeport-262-RT,,,,
Bridgeport - 1 in EMT Compression Coupling-Compression Coupling,Bridgeport,262-SRT,1-EMT-Compression-Coupling,CONDUIT-Bridgeport-262-SRT,,,,
Bridgeport - 1 in EMT Compression Coupling-Compression Coupling,Bridgeport,263-SRT,1-EMT-Compression-Coupling,CONDUIT-Bridgeport-263-SRT,,,,
Bridgeport - 1 in EMT Set Screw Connector-Set Screw Connector,Bridgeport,232,1-EMT-Set-Screw-Connector,CONDUIT-Bridgeport-232,,,,
Bridgeport - 1 in EMT Set Screw Connector-Set Screw Connector,Bridgeport,232-DC2,1-EMT-Set-Screw-Connector,CONDUIT-Bridgeport-232-DC2,,,,
Bridgeport - 1 in RMC Compression Connector-Compression Connector,Bridgeport,3002,1-RMC-Compression-Connector,CONDUIT-Bridgeport-3002,,,,
Bridgeport - 1 in RMC Compression Connector-Compression Connector,Bridgeport,3002-RT,1-RMC-Compression-Connector,CONDUIT-Bridgeport-3002-RT,,,,
Bridgeport - 1 in RMC Compression Coupling-Compression Coupling,Bridgeport,3102,1-RMC-Compression-Coupling,CONDUIT-Bridgeport-3102,,,,
Bridgeport - 1 in RMC Compression Coupling-Compression Coupling,Bridgeport,3102-US,1-RMC-Compression-Coupling,CONDUIT-Bridgeport-3102-US,,,,
Bridgeport - 1 in RMC Conduit-Conduit,Bridgeport,3002-US,1-RMC-Conduit,CONDUIT-Bridgeport-3002-US,,,,
