Description,Manufacturer,Part Number,Connector Type,BRSID
"Polaris Clear Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-1/0 AWG",Polaris,IT-1/0C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-1/0C
"Polaris Black Insulated Multi-Tap Connector, 2-Port, Dual Sided Entry, 14 AWG-1/0 AWG",Polaris,IT-1/0,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IT-1/0
"Polaris Clear Insulated In-Line Splice, 2-Port, 6 AWG-250 kcmil",Polaris,ISR-250C,Insulated Splice,CONNECTOR-Polaris-ISR-250C
"Polaris Black Insulated In-Line Splice, 2-Port, 6 AWG-250 kcmil",Polaris,ISR-250,Insulated Splice,CONNECTOR-Polaris-ISR-250
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 3 AWG-500 kcmil",Polaris,IPLD500-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD500-3
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 10 AWG-350 kcmil",Polaris,IPLD350-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD350-3
"Polaris Clear Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 6 AWG-3/0 AWG",Polaris,IPLD3/0-3C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD3/0-3C
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 6 AWG-3/0 AWG",Polaris,IPLD3/0-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD3/0-3
"Polaris Black Insulated Multi-Tap Connector, 4-Port, Dual Sided Entry, 6 AWG-250 kcmil",Polaris,IPLD250-4,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD250-4
"Polaris Clear Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 6 AWG-250 kcmil",Polaris,IPLD250-3C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD250-3C
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Dual Sided Entry, 6 AWG-250 kcmil",Polaris,IPLD250-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPLD250-3
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 14 AWG-4 AWG",Polaris,IPL4-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL4-3
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 10 AWG-350 kcmil",Polaris,IPL350-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL350-3
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 6 AWG-250 kcmil",Polaris,IPL3/0-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL3/0-3
"Polaris Clear Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 6 AWG-250 kcmil",Polaris,IPL250-3C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL250-3C
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 6 AWG-250 kcmil",Polaris,IPL250-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL250-3
"Polaris Clear Insulated Multi-Tap Connector, 4-Port, Single Sided Entry, 14 AWG-1/0 AWG",Polaris,IPL1/0-4C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL1/0-4C
"Polaris Clear Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 14 AWG-1/0 AWG",Polaris,IPL1/0-3C,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL1/0-3C
"Polaris Black Insulated Multi-Tap Connector, 3-Port, Single Sided Entry, 14 AWG-1/0 AWG",Polaris,IPL1/0-3,Insulated Multi-Tap Connector,CONNECTOR-Polaris-IPL1/0-3
"Topaz 3/4 in Non-Metallic Cable Connector, Button Style",Topaz,459,Non-Metallic Cable Connector,CONNECTOR-Topaz-459
Topaz 2 in 2-Screw Clamp Connector,Topaz,146R,2-Screw Clamp Connector,CONNECTOR-Topaz-146R
Topaz 1-1/2 in 2-Screw Clamp Connector,Topaz,145R,2-Screw Clamp Connector,CONNECTOR-Topaz-145R
Topaz 1 in 2-Screw Clamp Connector,Topaz,143R,2-Screw Clamp Connector,CONNECTOR-Topaz-143R
Topaz 2 in 2-Screw Clamp Connector,Topaz,952,2-Screw Clamp Connector,CONNECTOR-Topaz-952
Topaz 1 in 2-Screw Clamp Connector,Topaz,143R,2-Screw Clamp Connector,CONNECTOR-Topaz-143R
"Wago Push Wire Push-In Wire Connector, 10 AWG, 3-port",Wago,773-173,Push-in Connector,CONNECTOR-Wago-773-173
